Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_32_279,VDD,Metal1,168.0480,144.3480,4.999955
FILLER_32_247,VDD,Metal1,154.6755,144.2710,4.999953
FILLER_32_243,VDD,Metal1,143.3600,145.0400,4.999952
FILLER_32_235,VDD,Metal1,141.0665,144.4630,4.999952
FILLER_32_123,VDD,Metal1,76.1600,145.0400,4.999950
FILLER_32_107,VDD,Metal1,71.7280,144.3480,4.999950
FILLER_32_97,VDD,Metal1,63.7865,144.4630,4.999950
FILLER_32_81,VDD,Metal1,57.1680,144.3480,4.999950
FILLER_32_73,VDD,Metal1,47.8800,145.0400,4.999952
FILLER_32_71,VDD,Metal1,47.0400,145.0400,4.999952
FILLER_32_67,VDD,Metal1,45.7400,144.6075,4.999952
FILLER_32_51,VDD,Metal1,40.3680,144.3480,4.999952
FILLER_32_42,VDD,Metal1,30.5200,145.0400,4.999952
FILLER_32_34,VDD,Metal1,26.0400,145.0400,4.999953
FILLER_32_18,VDD,Metal1,21.8880,144.3480,4.999964
FILLER_31_324,VDD,Metal1,188.7200,137.2000,4.999963
FILLER_31_290,VDD,Metal1,169.4000,137.2000,4.999960
FILLER_31_282,VDD,Metal1,167.3865,137.7765,4.999960
FILLER_31_278,VDD,Metal1,162.9600,137.2000,4.999960
FILLER_31_274,VDD,Metal1,161.6600,137.6325,4.999960
FILLER_31_239,VDD,Metal1,140.8400,137.2000,4.999960
FILLER_31_235,VDD,Metal1,139.8200,137.6325,4.999960
FILLER_31_227,VDD,Metal1,136.5865,137.7765,4.999960
FILLER_31_208,VDD,Metal1,123.7600,137.2000,4.999960
FILLER_31_204,VDD,Metal1,122.4600,137.6325,4.999960
FILLER_31_171,VDD,Metal1,103.9800,137.6325,4.999958
FILLER_31_139,VDD,Metal1,84.8400,137.2000,4.999957
FILLER_31_135,VDD,Metal1,83.8200,137.6325,4.999957
FILLER_31_98,VDD,Metal1,61.8800,137.2000,4.999956
FILLER_31_96,VDD,Metal1,61.0400,137.2000,4.999956
FILLER_31_92,VDD,Metal1,59.7400,137.6325,4.999956
FILLER_31_80,VDD,Metal1,53.0200,137.6325,4.999956
FILLER_31_72,VDD,Metal1,49.7865,137.7765,4.999956
FILLER_31_68,VDD,Metal1,45.3600,137.2000,4.999956
FILLER_31_60,VDD,Metal1,43.0665,137.7765,4.999956
FILLER_31_18,VDD,Metal1,19.5465,137.7765,4.999956
FILLER_31_2,VDD,Metal1,12.9280,137.8920,4.999956
FILLER_30_325,VDD,Metal1,189.0000,137.2000,4.999963
FILLER_30_317,VDD,Metal1,186.9865,136.6230,4.999963
FILLER_30_298,VDD,Metal1,173.8800,137.2000,4.999963
FILLER_30_296,VDD,Metal1,173.0400,137.2000,4.999962
FILLER_30_292,VDD,Metal1,171.7400,136.7675,4.999962
FILLER_30_261,VDD,Metal1,153.4400,137.2000,4.999960
FILLER_30_244,VDD,Metal1,143.6400,137.2000,4.999960
FILLER_30_240,VDD,Metal1,142.6200,136.7675,4.999960
FILLER_30_204,VDD,Metal1,121.5200,137.2000,4.999960
FILLER_30_200,VDD,Metal1,120.2200,136.7675,4.999959
FILLER_30_192,VDD,Metal1,116.9865,136.6230,4.999959
FILLER_30_174,VDD,Metal1,104.4400,137.2000,4.999958
FILLER_30_172,VDD,Metal1,103.6000,137.2000,4.999958
FILLER_30_142,VDD,Metal1,86.5200,137.2000,4.999957
FILLER_30_140,VDD,Metal1,85.6800,137.2000,4.999957
FILLER_30_136,VDD,Metal1,84.3800,136.7675,4.999957
FILLER_30_120,VDD,Metal1,79.0080,136.5080,4.999957
FILLER_30_115,VDD,Metal1,71.4000,137.2000,4.999957
FILLER_30_99,VDD,Metal1,62.4400,137.2000,4.999956
FILLER_30_97,VDD,Metal1,61.6000,137.2000,4.999956
FILLER_30_37,VDD,Metal1,27.7200,137.2000,4.999956
FILLER_30_34,VDD,Metal1,26.0400,137.2000,4.999956
FILLER_30_2,VDD,Metal1,17.4755,136.4310,4.999956
FILLER_29_325,VDD,Metal1,189.0000,129.3600,4.999986
FILLER_29_323,VDD,Metal1,188.1600,129.3600,4.999986
FILLER_29_290,VDD,Metal1,170.6200,129.7925,4.999986
FILLER_29_282,VDD,Metal1,167.3865,129.9365,4.999986
FILLER_29_264,VDD,Metal1,154.8400,129.3600,4.999984
FILLER_29_260,VDD,Metal1,153.8200,129.7925,4.999984
FILLER_29_244,VDD,Metal1,148.4480,130.0520,4.999984
FILLER_29_212,VDD,Metal1,135.0755,130.1285,4.999983
FILLER_29_176,VDD,Metal1,106.7800,129.7925,4.999982
FILLER_29_168,VDD,Metal1,103.5465,129.9365,4.999982
FILLER_29_152,VDD,Metal1,92.1200,129.3600,4.999982
FILLER_29_150,VDD,Metal1,91.2800,129.3600,4.999982
FILLER_29_142,VDD,Metal1,88.9865,129.9365,4.999982
FILLER_29_124,VDD,Metal1,81.2480,130.0520,4.999982
FILLER_29_88,VDD,Metal1,56.5600,129.3600,4.999981
FILLER_29_84,VDD,Metal1,55.2600,129.7925,4.999981
FILLER_29_72,VDD,Metal1,47.6000,129.3600,4.999981
FILLER_29_59,VDD,Metal1,41.2600,129.7925,4.999981
FILLER_29_53,VDD,Metal1,36.6800,129.3600,4.999981
FILLER_29_49,VDD,Metal1,35.6600,129.7925,4.999981
FILLER_29_44,VDD,Metal1,31.6400,129.3600,4.999981
FILLER_29_36,VDD,Metal1,29.6265,129.9365,4.999981
FILLER_28_325,VDD,Metal1,189.0000,129.3600,4.999986
FILLER_28_317,VDD,Metal1,186.9865,128.7830,4.999986
FILLER_28_313,VDD,Metal1,182.5600,129.3600,4.999986
FILLER_28_294,VDD,Metal1,171.6400,129.3600,4.999986
FILLER_28_292,VDD,Metal1,170.8000,129.3600,4.999986
FILLER_28_288,VDD,Metal1,169.5000,128.9275,4.999986
FILLER_28_271,VDD,Metal1,159.0400,129.3600,4.999985
FILLER_28_263,VDD,Metal1,156.7465,128.7830,4.999985
FILLER_28_247,VDD,Metal1,150.1280,128.6680,4.999984
FILLER_28_244,VDD,Metal1,143.6400,129.3600,4.999984
FILLER_28_240,VDD,Metal1,142.6200,128.9275,4.999983
FILLER_28_226,VDD,Metal1,136.0265,128.7830,4.999983
FILLER_28_194,VDD,Metal1,124.9955,128.5910,4.999983
FILLER_28_177,VDD,Metal1,106.1200,129.3600,4.999982
FILLER_28_173,VDD,Metal1,104.1600,129.3600,4.999982
FILLER_28_169,VDD,Metal1,102.8600,128.9275,4.999982
FILLER_28_161,VDD,Metal1,99.6265,128.7830,4.999982
FILLER_28_130,VDD,Metal1,80.0800,129.3600,4.999982
FILLER_28_126,VDD,Metal1,78.7800,128.9275,4.999982
FILLER_28_109,VDD,Metal1,68.0400,129.3600,4.999981
FILLER_28_107,VDD,Metal1,67.2000,129.3600,4.999981
FILLER_28_97,VDD,Metal1,63.7865,128.7830,4.999981
FILLER_28_81,VDD,Metal1,57.1680,128.6680,4.999981
FILLER_28_67,VDD,Metal1,44.5200,129.3600,4.999981
FILLER_28_65,VDD,Metal1,43.6800,129.3600,4.999981
FILLER_28_61,VDD,Metal1,42.3800,128.9275,4.999981
FILLER_28_53,VDD,Metal1,39.1465,128.7830,4.999981
