Instance,Terminal,Layer,X location,Y location,Voltage
FILLER_29_84,VSS,Metal1,54.5000,132.9310,0.000043
FILLER_29_72,VSS,Metal1,47.6000,133.2800,0.000043
FILLER_29_59,VSS,Metal1,40.5000,132.9310,0.000043
FILLER_29_53,VSS,Metal1,36.6800,133.2800,0.000043
FILLER_29_49,VSS,Metal1,34.9000,132.9310,0.000043
FILLER_29_44,VSS,Metal1,31.6400,133.2800,0.000043
FILLER_29_36,VSS,Metal1,28.6130,132.8180,0.000043
FILLER_28_325,VSS,Metal1,189.0000,125.4400,0.000044
FILLER_28_317,VSS,Metal1,185.9730,125.9015,0.000044
FILLER_28_313,VSS,Metal1,182.5600,125.4400,0.000044
FILLER_28_294,VSS,Metal1,171.6400,125.4400,0.000047
FILLER_28_292,VSS,Metal1,170.8000,125.4400,0.000047
FILLER_28_288,VSS,Metal1,168.7400,125.7885,0.000047
FILLER_28_271,VSS,Metal1,159.0400,125.4400,0.000048
FILLER_28_263,VSS,Metal1,155.7330,125.9015,0.000050
FILLER_28_247,VSS,Metal1,148.9120,125.9880,0.000050
FILLER_28_244,VSS,Metal1,143.6400,125.4400,0.000051
FILLER_28_240,VSS,Metal1,141.8600,125.7885,0.000051
FILLER_28_226,VSS,Metal1,135.0130,125.9015,0.000052
FILLER_28_194,VSS,Metal1,123.6440,126.0375,0.000055
FILLER_28_177,VSS,Metal1,106.1200,125.4400,0.000062
FILLER_28_173,VSS,Metal1,104.1600,125.4400,0.000062
FILLER_28_169,VSS,Metal1,102.1000,125.7885,0.000062
FILLER_28_161,VSS,Metal1,98.6130,125.9015,0.000062
FILLER_28_130,VSS,Metal1,80.0800,125.4400,0.000061
FILLER_28_126,VSS,Metal1,78.0200,125.7885,0.000061
FILLER_28_109,VSS,Metal1,68.0400,125.4400,0.000059
FILLER_28_107,VSS,Metal1,67.2000,125.4400,0.000059
FILLER_28_97,VSS,Metal1,62.7730,125.9015,0.000055
FILLER_28_81,VSS,Metal1,55.9520,125.9880,0.000055
FILLER_28_67,VSS,Metal1,44.5200,125.4400,0.000053
FILLER_28_65,VSS,Metal1,43.6800,125.4400,0.000053
FILLER_28_61,VSS,Metal1,41.6200,125.7885,0.000053
FILLER_28_53,VSS,Metal1,38.1330,125.9015,0.000053
